offset 13, kernel32
6D1CAEEB, GetThreadTimes
F791FB23, GetTickCount
F02A93BE, GetTimeFormatA
F02A93D4, GetTimeFormatW
51268313, GetTimeZoneInformation
BCF0E202, GetUserDefaultLCID
888269B3, GetUserDefaultLangID
7BBDC500, GetUserDefaultUILanguage
63723AB7, GetUserGeoID
4AF7BA3F, GetVDMCurrentDirectories
CFD98161, GetVersion
C75FC483, GetVersionExA
C75FC499, GetVersionExW
8AB241A0, GetVolumeInformationA
8AB241B6, GetVolumeInformationW
5CEDCADA, GetVolumeNameForVolumeMountPointA
5CEDCAF0, GetVolumeNameForVolumeMountPointW
0FD090F8, GetVolumePathNameA
0FD0910E, GetVolumePathNameW
990D3199, GetVolumePathNamesForVolumeNameA
990D31AF, GetVolumePathNamesForVolumeNameW
F8ECDBED, GetWindowsDirectoryA
F8ECDC03, GetWindowsDirectoryW
B9BA5748, GetWriteWatch
FD5D432C, GlobalAddAtomA
FD5D4342, GlobalAddAtomW
0C0397EC, GlobalAlloc
86060AF8, GlobalCompact
0458516C, GlobalDeleteAtom
A9ECBC5C, GlobalFindAtomA
A9ECBC72, GlobalFindAtomW
240A2FAA, GlobalFix
0BC3E53C, GlobalFlags
7CB922F6, GlobalFree
D9683B57, GlobalGetAtomNameA
D9683B6D, GlobalGetAtomNameW
43A7ADC5, GlobalHandle
88A9223C, GlobalLock
081E64FD, GlobalMemoryStatus
09C13FBA, GlobalMemoryStatusEx
7E9F4DA2, GlobalReAlloc
976120B6, GlobalSize
95D87F0B, GlobalUnWire
0FD4D681, GlobalUnfix
BF608091, GlobalUnlock
9F2120B6, GlobalWire
376BB320, Heap32First
16CB406C, Heap32ListFirst
782F01DA, Heap32ListNext
868585EE, Heap32Next
2500383C, HeapAlloc
C52E1EFE, HeapCompact
B46984E7, HeapCreate
9FD21C8B, HeapCreateTagsW
CD92833E, HeapDestroy
D239E5E7, HeapExtend
10C32616, HeapFree
1CB3255C, HeapLock
806E170A, HeapQueryInformation
3EA13C09, HeapQueryTagW
BDC761A8, HeapReAlloc
